Country,Birthrate,Population,Weight
乌兹别克斯坦,16.1,36800000,592480
瓦努阿图,22.4,301295,6749
委内瑞拉,17.9,28302000,506605
越南,14.5,100300000,1454350
西撒哈拉,28,612200,17141
也门,25.8,33697000,869382
赞比亚,40.4,19611000,792284
津巴布韦,33.6,15179000,510014
安圭拉,12.2,15701,191
阿鲁巴,12.1,106739,1291
百慕大,11.2,64055,717
英属维尔京群岛,11.1,31538,350
开曼群岛,11.9,81546,970
根西,9.8,64037,627
泽西,12.7,103267,1311
库克群岛,13.3,15040,200
库拉索,13.4,148925,1995
福克兰群岛,10.9,3662,39
法罗群岛,14.9,54547,812
直布罗陀,13.8,32688,451
格陵兰,14.1,56696,799
关岛,18.9,153836,2907
中国香港,8.4,7498100,62984
马恩岛,10.8,84069,907
科索沃,15.4,1795700,27653
中国澳门,7.9,671900,5308
蒙特塞拉特,11.7,4433,51
新喀里多尼亚,14.5,268510,3893
纽埃,14.8,1689,24
北马里亚纳群岛,15.1,47329,714
法属波利尼西亚,14,279890,3918
圣巴泰勒米,9.3,10585,98
圣海伦娜及其属地,9.3,5651,52
法属圣马丁,14.3,32358,462
圣皮埃尔和密克隆,6.7,6092,40
美属萨摩亚,19.6,49710,974
荷属圣马丁,14.3,42938,614
托克劳,22.1,1647,36
特克斯和凯科斯群岛,14.1,46131,650
美属维尔京群岛,12.1,87146,1054
瓦利斯和富图纳,12.7,11369,144
